day	hour	value
1	1	34
1	2	22
1	3	11
1	4	32
1	5	35
1	6	24
1	7	42
1	8	37
1	9	25
1	10	32
1	11	21
1	12	31
2	1	40
2	2	23
2	3	24
2	4	35
2	5	42
2	6	31
2	7	47
2	8	61
2	9	54
2	10	24
2	11	24
2	12	20
3	1	14
3	2	00
3	3	24
3	4	32
3	5	41
3	6	21
3	7	21
3	8	25
3	9	23
3	10	22
3	11	21
3	12	24
4	1	00
4	2	04
4	3	04
4	4	14
4	5	23
4	6	12
4	7	24
4	8	12
4	9	21
4	10	00
4	11	00
4	12	02
5	1	00
5	2	00
5	3	00
5	4	00
5	5	00
5	6	00
5	7	00
5	8	00
5	9	00
5	10	00
5	11	00
5	12	04
6	1	11
6	2	00
6	3	00
6	4	00
6	5	00
6	6	00
6	7	41
6	8	23
6	9	09
6	10	28
6	11	11
6	12	32
